Word,Old Testament,New Testament,Apocrypha,Total
a,4697,1519,1366,7582
aalar,0,0,1,1
aaron,299,4,15,318
aaron's,30,1,0,31
aaronites,2,0,0,2
abacuc,0,0,1,1
abaddon,0,1,0,1
abadias,0,0,1,1
abagtha,1,0,0,1
abana,1,0,0,1
abarim,4,0,0,4
abase,4,0,0,4
abased,0,4,0,4
abasement,0,0,1,1
abashed,0,0,2,2
abasing,0,1,0,1
abated,6,0,2,8
abateth,0,0,2,2
abba,0,3,0,3
abda,2,0,0,2
abdeel,1,0,0,1
abdi,3,0,0,3
abdias,0,0,1,1
abdiel,1,0,0,1
abdon,8,0,0,8
abednego,14,0,0,14
abel,9,4,0,13
abelbethmaachah,2,0,0,2
abelmaim,1,0,0,1
abelmeholah,3,0,0,3
abelmizraim,1,0,0,1
abelshittim,1,0,0,1
abez,1,0,0,1
abhor,17,1,5,23
abhorred,16,0,5,21
abhorrest,1,1,1,3
abhorreth,5,0,1,6
abhorring,1,0,0,1
abi,1,0,0,1
abia,1,2,0,3
abiah,4,0,0,4
abialbon,1,0,0,1
abiasaph,1,0,0,1
abiathar,27,1,0,28
abiathar's,1,0,0,1
abib,4,0,0,4
abida,1,0,0,1
abidah,1,0,0,1
abidan,5,0,0,5
abide,49,28,18,95
abideth,10,18,1,29
abiding,5,4,1,10
abiel,3,0,0,3
abiezer,7,0,0,7
abiezrite,1,0,0,1
abiezrites,2,0,0,2
abigail,17,0,0,17
abihail,6,0,0,6
abihu,12,0,0,12
abihud,1,0,0,1
abijah,20,0,0,20
abijam,4,0,0,4
abilene,0,1,0,1
ability,4,3,6,13
abimael,2,0,0,2
abimelech,60,0,0,60
abimelech's,2,0,0,2
abinadab,12,0,0,12
abinoam,4,0,0,4
abiram,9,0,0,9
abiron's,0,0,1,1
abisei,0,0,1,1
abishag,5,0,0,5
abishai,24,0,0,24
abishalom,2,0,0,2
abishua,5,0,0,5
abishur,2,0,0,2
abisum,0,0,1,1
abital,2,0,0,2
abitub,1,0,0,1
abiud,0,1,0,1
abjects,1,0,0,1
able,98,57,39,194
abner,52,0,0,52
abner's,1,0,0,1
aboard,0,1,0,1
abode,43,24,6,73
abodest,1,0,0,1
abolish,1,0,3,4
abolished,2,3,2,7
abominable,20,3,3,26
abominably,1,0,0,1
abomination,65,4,10,79
abominations,72,2,6,80
abound,1,14,3,18
abounded,0,5,2,7
aboundeth,1,2,1,4
abounding,1,2,0,3
about,437,157,122,716
above,165,43,101,309
abraham,150,66,15,231
abraham's,14,5,1,20
abram,46,0,0,46
abram's,7,0,0,7
abridge,0,0,1,1
abridgement,0,0,1,1
abridging,0,0,1,1
abridgment,0,0,1,1
abroad,54,24,12,90
absalom,86,0,1,87
absalom's,5,0,0,5
absence,0,2,0,2
absent,1,10,2,13
absolom,0,0,2,2
abstain,0,6,1,7
abstaineth,0,0,1,1
abstinence,0,1,1,2
abubus,0,0,2,2
abundance,53,13,12,78
abundant,3,9,0,12
abundantly,21,11,1,33
abuse,2,1,2,5
abused,1,0,3,4
abusers,0,1,0,1
abusing,0,1,0,1
acatan,0,0,1,1
accad,1,0,0,1
accaron,0,0,1,1
accept,24,1,7,32
acceptable,12,11,7,30
acceptably,0,1,0,1
acceptance,1,0,0,1
acceptation,0,2,0,2
accepted,19,9,10,38
acceptest,0,1,0,1
accepteth,3,1,0,4
accepting,0,1,2,3
access,0,3,1,4
accho,1,0,0,1
acclamations,0,0,1,1
accompanied,0,4,0,4
accompany,0,1,1,2
accompanying,1,0,0,1
accomplish,12,1,5,18
accomplished,15,10,4,29
accomplishing,0,1,0,1
accomplishment,0,1,0,1
accord,2,14,6,22
according,594,121,119,834
accordingly,1,0,3,4
accos,0,0,1,1
account,6,11,5,22
accounted,6,6,3,15
accounting,0,1,0,1
accounts,1,0,7,8
accoz,0,0,1,1
accursed,11,4,0,15
accusation,1,9,3,13
accusations,0,0,2,2
accuse,1,15,4,20
accused,2,12,7,21
accuser,0,1,1,2
accusers,0,8,2,10
accuseth,0,1,0,1
accusing,0,1,0,1
accustom,0,0,1,1
accustomed,1,0,2,3
aceldama,0,1,0,1
achaia,0,11,0,11
achaicus,0,1,0,1
achan,6,0,1,7
achar,1,0,0,1
achaz,0,1,0,1
achbor,7,0,0,7
achiacharus,0,0,5,5
achias,0,0,1,1
achim,0,1,0,1
achior,0,0,13,13
achish,20,0,0,20
achitob,0,0,2,2
achmetha,1,0,0,1
achor,5,0,0,5
achsa,1,0,0,1
achsah,4,0,0,4
achshaph,3,0,0,3
achzib,4,0,0,4
acipha,0,0,1,1
acitho,0,0,1,1
acknowledge,13,3,6,22
acknowledged,1,1,5,7
acknowledgement,0,1,0,1
acknowledgeth,0,1,0,1
acknowledging,0,3,0,3
acquaint,1,0,1,2
acquaintance,8,3,2,13
acquainted,2,0,1,3
acquainting,1,0,0,1
acquit,2,0,1,3
acre,1,0,0,1
acres,1,0,0,1
act,2,1,2,5
action,0,0,1,1
actions,1,0,1,2
active,0,0,1,1
activity,1,0,0,1
acts,64,0,17,81
acua,0,0,1,1
acub,0,0,1,1
adadah,1,0,0,1
adah,8,0,0,8
adaiah,9,0,0,9
adalia,1,0,0,1
adam,20,7,14,41
adam's,0,1,0,1
adamah,1,0,0,1
adamant,2,0,1,3
adami,1,0,0,1
adar,10,0,7,17
adasa,0,0,2,2
adbeel,2,0,0,2
add,27,5,7,39
addan,1,0,0,1
addar,1,0,0,1
added,5,10,8,23
adder,4,0,0,4
adders',1,0,0,1
addeth,3,1,0,4
addi,0,1,1,2
addicted,0,1,0,1
adding,0,0,1,1
addition,1,0,0,1
additions,2,0,0,2
addo,0,0,1,1
addon,1,0,0,1
addus,0,0,2,2
ader,1,0,0,1
adherents,0,0,1,1
adida,0,0,2,2
adiel,3,0,0,3
adin,4,0,2,6
adina,1,0,0,1
adino,1,0,0,1
adinus,0,0,1,1
adithaim,1,0,0,1
adjoining,0,0,2,2
adjure,2,3,0,5
adjured,2,0,0,2
adlai,1,0,0,1
admah,5,0,0,5
admatha,1,0,0,1
administered,0,2,0,2
administration,0,1,0,1
administrations,0,1,0,1
admirable,0,0,1,1
admiration,0,2,2,4
admire,0,0,1,1
admired,0,1,3,4
admonish,0,3,7,10
admonished,3,2,1,6
admonishing,0,1,0,1
admonition,0,3,0,3
adna,2,0,0,2
adnah,2,0,0,2
ado,0,1,1,2
adonibezek,3,0,0,3
adonijah,26,0,0,26
adonikam,3,0,2,5
adoniram,2,0,0,2
adonizedec,2,0,0,2
adoption,0,5,0,5
adora,0,0,1,1
adoraim,1,0,0,1
adoram,2,0,0,2
adore,0,0,1,1
adorn,0,2,1,3
adorned,1,3,2,6
adorneth,1,0,0,1
adorning,0,1,1,2
adrammelech,3,0,0,3
adramyttium,0,1,0,1
adria,0,1,0,1
adriel,2,0,0,2
aduel,0,0,1,1
adullam,8,0,0,8
adullamite,3,0,0,3
adulterer,3,0,1,4
adulterers,5,4,1,10
adulteress,2,1,0,3
adulteresses,1,1,0,2
adulteries,3,2,0,5
adulterous,1,3,0,4
adultery,15,18,3,36
adultress,1,0,0,1
adummim,2,0,0,2
advance,0,0,1,1
advanced,4,0,0,4
advantage,1,3,1,5
advantaged,0,1,0,1
advantageth,0,1,0,1
adventure,1,1,1,3
adventured,1,0,0,1
adversaries,31,5,11,47
adversary,16,5,3,24
